"Geschlecht";"Groesse";"Gewicht";"jare";"alter"
"1";"M";187;87.6;64;45
"2";"W";159;72.9;20;59
"3";"W";162;76.5;19.3;63
"4";"M";175;89;39.3;61
"5";"M";185;120.3;190;27
"6";"W";171;55;28;30
"7";"M";197;124;49.3;38
"8";"W";169;79.2;36;53
"9";"M";169;76.8;44.7;40
"10";"W";162;74.2;26.7;38
"11";"W";155;45;19.3;29
"12";"M";185;84;53.3;27
"13";"W";165;62;34.7;28
"14";"W";155;74.9;23.3;53
"15";"W";152;58;22.7;56
"16";"M";180;70.9;38.7;46
"17";"W";165;72;26.7;65
"18";"W";167;55.7;16.7;33
"19";"W";164;61;20.7;32
"20";"W";166;61;34;36
"21";"M";172;68.6;31.3;27
"22";"M";178;74.6;44.7;45
"23";"W";155;78.8;24.7;27
"24";"M";167;73.3;38;53
"25";"M";176;79.3;36;44
"26";"M";177;84.8;46.7;47
"27";"W";166;53.3;18;23
"28";"W";175;56.3;18.7;33
"29";"W";160;59;24.7;47
"30";"W";160;68;28;47
"31";"M";182;83.4;44.7;39
"32";"M";187;87;50;24
"33";"W";176;57.2;30.7;51
"34";"W";169;58.2;33.3;24
"35";"W";165;59;25.3;43
"36";"W";165;73.5;28.7;20
"37";"M";182;75;42.7;27
"38";"M";184;75.4;37.3;24
"39";"W";155;59;24;38
"40";"W";166;76;30;43
"41";"M";182;68.5;46.7;22
"42";"W";162;52.1;30;33
"43";"W";169;66;30.7;29
"44";"W";158;59.5;24.7;55
"45";"W";170;83.2;28.7;48
"46";"W";166;61.5;27.3;55
"47";"M";186;82;42;34
"48";"W";160;60.2;26.7;54
"49";"W";168;69.9;22;60
"50";"W";162;63;18.7;52
"51";"W";161;87.5;30;62
"52";"W";160;57;23.3;23
"53";"M";178;91;39.3;22
"54";"W";166;72;26;41
"55";"W";174;74.5;28.7;51
"56";"W";173;68.3;32.7;50
"57";"W";149;47;14.7;51
"58";"W";175;89;28.7;51
"59";"M";178;82;39.3;24
"60";"M";178;101.9;47.3;24
"61";"W";173;65.1;30;33
"62";"W";166;88.7;28.7;24
"63";"M";174;65.7;40.7;21
"64";"W";168;115;34;52
"65";"W";178;81.9;32.7;48
"66";"W";166;60;23.3;58
"67";"W";161;69;29.3;50
"68";"M";170;58.2;42;50
"69";"W";163;52;20;24
"70";"W";163;76.5;26.7;56
"71";"M";182;83.8;24.7;61
"72";"W";172;105;26.7;21
"73";"M";189;96.8;49.3;54
"74";"W";170;54.5;19.3;57
"75";"M";184;99.8;41.3;24
"76";"W";168;59;19.3;35
"77";"W";174;71;22.7;37
"78";"M";176;85.9;49.3;22
"79";"W";156;58;21.3;24
"80";"M";187;96.8;48;35
"81";"W";171;97.8;26;55
"82";"W";176;71.8;30.7;37
"83";"W";175;74.9;27.3;47
"84";"M";181;96.5;42.7;49
"85";"W";169;65.5;29.3;51
